customer_id,order_frequency,payment_type
C3371,3,card
C3372,7,card
C3373,4,card
C3374,4,wallet
C3375,3,card
C3376,3,wallet
C3377,3,wallet
C3378,2,wallet
C3379,2,wallet
C3380,1,card
C3381,8,wallet
C3382,2,wallet
C3383,8,card
C3384,3,wallet
C3385,6,card
C3386,1,wallet
C3387,8,wallet
C3388,4,card
C3389,4,wallet
C3390,7,card
C3391,6,wallet
C3392,1,wallet
C3393,6,wallet
C3394,2,card
C3395,5,wallet
C3396,2,card
C3397,7,wallet
C3398,1,wallet
C3399,4,wallet
C3400,4,wallet
C3401,1,wallet
C3402,7,wallet
C3403,6,wallet
C3404,5,wallet
C3405,2,wallet
C3406,6,wallet
C3407,3,wallet
C3408,7,card
C3409,6,card
C3410,4,card
C3411,3,card
C3412,8,wallet
C3413,3,wallet
C3414,6,wallet
C3415,1,wallet
C3416,7,card
C3417,1,wallet
C3418,2,card
C3419,3,wallet
C3420,8,wallet
C3421,6,card
C3422,5,wallet
C3423,2,card
C3424,8,card
C3425,3,card
C3426,1,card
C3427,1,wallet
C3428,8,wallet
C3429,1,wallet
C3430,5,card
C3431,1,wallet
C3432,2,wallet
C3433,3,wallet
C3434,6,card
C3435,7,wallet
C3436,5,wallet
C3437,6,card
C3438,7,wallet
C3439,4,card
C3440,1,card
C3441,2,wallet
C3442,1,wallet
C3443,3,card
C3444,6,wallet
C3445,5,wallet
C3446,4,card
C3447,4,card
C3448,3,card
C3449,3,wallet
C3450,7,wallet
C3451,6,wallet
C3452,5,card
C3453,7,card
C3454,8,card
C3455,6,card
C3456,4,card
C3457,4,wallet
C3458,4,card
C3459,5,card
C3460,8,card
C3461,4,wallet
C3462,1,wallet
C3463,4,card
C3464,3,wallet
C3465,1,card
C3466,6,card
C3467,6,card
C3468,4,wallet
C3469,4,card
C3470,2,wallet
C3471,5,card
C3472,3,wallet
C3473,2,wallet
C3474,8,card
C3475,4,wallet
C3476,5,card
C3477,7,card
C3478,8,card
C3479,8,card
C3480,4,card
C3481,8,wallet
C3482,4,card
C3483,6,wallet
C3484,1,card
C3485,1,wallet
C3486,7,card
C3487,3,card
C3488,8,card
C3489,1,card
C3490,3,wallet
C3491,2,wallet
C3492,8,wallet
C3493,2,card
C3494,3,wallet
C3495,3,card
C3496,5,card
C3497,5,wallet
C3498,3,wallet
C3499,8,card
C3500,3,wallet
C3501,3,wallet
C3502,4,wallet
C3503,6,card
C3504,1,wallet
C3505,8,wallet
C3506,8,card
C3507,5,wallet
C3508,7,wallet
C3509,4,wallet
C3510,5,card
C3511,3,card
C3512,6,wallet
C3513,2,wallet
C3514,8,card
C3515,2,wallet
C3516,8,wallet
C3517,1,card
C3518,7,card
C3519,8,card
C3520,3,card
C3521,2,wallet
C3522,2,card
C3523,2,card
C3524,2,wallet
C3525,3,wallet
C3526,1,card
C3527,4,wallet
C3528,7,card
C3529,3,card
C3530,5,card
C3531,1,card
C3532,6,wallet
C3533,4,wallet
C3534,4,card
C3535,1,wallet
C3536,1,card
C3537,7,card
C3538,1,wallet
C3539,6,card
C3540,3,card
C3541,5,wallet
C3542,5,card
C3543,5,card
C3544,6,card
C3545,1,wallet
C3546,1,wallet
C3547,2,card
C3548,4,card
C3549,2,card
C3550,4,card
C3551,8,wallet
C3552,4,wallet
C3553,1,card
C3554,4,card
C3555,6,card
C3556,7,wallet
C3557,4,wallet
C3558,3,card
C3559,1,card
C3560,6,card
C3561,7,card
C3562,5,card
C3563,3,card
C3564,5,card
C3565,8,wallet
C3566,2,wallet
C3567,1,wallet
C3568,8,wallet
C3569,3,card
C3570,4,wallet
C3571,4,card
C3572,4,card
C3573,3,card
C3574,8,wallet
C3575,3,wallet
C3576,8,card
C3577,5,card
C3578,5,wallet
C3579,4,wallet
C3580,5,wallet
C3581,7,wallet
C3582,3,wallet
C3583,3,wallet
C3584,6,card
C3585,7,wallet
C3586,2,card
C3587,1,wallet
C3588,4,wallet
C3589,8,wallet
C3590,5,card
C3591,1,wallet
C3592,8,wallet
C3593,3,wallet
C3594,6,wallet
C3595,3,card
C3596,3,card
C3597,3,card
C3598,4,wallet
C3599,2,wallet
C3600,1,card
C3601,8,card
C3602,8,card
C3603,6,wallet
C3604,8,wallet
C3605,2,wallet
C3606,1,wallet
C3607,6,card
C3608,5,wallet
C3609,1,card
C3610,8,wallet
C3611,5,wallet
C3612,3,wallet
C3613,4,card
C3614,8,card
C3615,7,wallet
C3616,5,wallet
C3617,8,card
C3618,4,wallet
C3619,6,wallet
C3620,7,wallet
C3621,8,wallet
C3622,5,wallet
C3623,8,wallet
C3624,7,wallet
C3625,3,wallet
C3626,4,card
C3627,4,card
C3628,6,card
C3629,1,card
C3630,5,card
C3631,3,wallet
C3632,2,wallet
C3633,1,card
C3634,6,card
C3635,1,wallet
C3636,6,wallet
C3637,8,card
C3638,2,card
C3639,4,wallet
C3640,6,wallet
C3641,8,card
C3642,7,wallet
C3643,8,card
C3644,4,card
C3645,8,wallet
C3646,5,card
C3647,1,card
C3648,4,card
C3649,3,wallet
C3650,7,card
C3651,4,card
C3652,5,card
C3653,6,card
C3654,8,wallet
C3655,4,card
C3656,5,card
C3657,2,card
C3658,2,card
C3659,1,card
C3660,4,wallet
C3661,8,wallet
C3662,3,wallet
C3663,4,wallet
C3664,4,wallet
C3665,4,card
C3666,2,card
C3667,2,card
C3668,3,wallet
C3669,5,card
C3670,6,wallet
C3671,8,wallet
C3672,1,wallet
C3673,7,wallet
C3674,2,wallet
C3675,6,wallet
C3676,6,card
C3677,6,wallet
C3678,4,wallet
C3679,1,wallet
C3680,5,card
C3681,8,wallet
C3682,7,card
C3683,4,wallet
C3684,7,wallet
C3685,6,card
C3686,8,wallet
C3687,5,wallet
C3688,7,wallet
C3689,2,wallet
C3690,3,card
C3691,7,card
C3692,3,card
C3693,3,wallet
C3694,6,card
C3695,8,card
C3696,1,wallet
C3697,2,wallet
C3698,4,card
C3699,4,wallet
