earner_id,earner_type,vehicle_type,fuel_type,is_ev,experience_months,rating,status,home_city_id
E10074,driver,car,gas,FALSE,36,4.47,online,1
E10075,driver,car,hybrid,FALSE,36,4.79,online,4
E10076,driver,car,EV,TRUE,67,4.78,offline,3
E10077,driver,car,hybrid,FALSE,80,5,offline,3
E10078,driver,car,EV,TRUE,5,4.55,offline,5
E10079,driver,car,EV,TRUE,36,4.75,engaged,3
E10080,driver,car,EV,TRUE,73,4.67,online,2
E10081,driver,car,EV,TRUE,25,4.73,online,3
E10082,driver,car,EV,TRUE,19,5,online,1
E10083,driver,car,EV,TRUE,81,4.82,engaged,3
E10084,driver,car,gas,FALSE,26,4.67,online,4
E10085,driver,car,EV,TRUE,2,4.78,offline,5
E10086,driver,car,hybrid,FALSE,23,4.89,online,3
E10087,driver,car,hybrid,FALSE,70,4.57,engaged,5
E10088,driver,car,hybrid,FALSE,21,4.7,offline,2
E10089,driver,car,EV,TRUE,50,5,online,4
E10090,driver,car,hybrid,FALSE,81,4.9,online,4
E10091,driver,car,hybrid,FALSE,84,4.74,engaged,3
E10092,driver,car,hybrid,FALSE,84,4.66,online,1
E10093,driver,car,hybrid,FALSE,83,4.72,engaged,1
E10094,driver,car,EV,TRUE,50,4.47,online,3
E10095,driver,car,hybrid,FALSE,42,4.92,offline,1
E10096,driver,car,EV,TRUE,11,4.81,online,4
E10097,driver,car,EV,TRUE,54,4.77,offline,4
E10098,driver,car,gas,FALSE,28,4.52,online,4
E10099,driver,car,hybrid,FALSE,23,4.62,engaged,3
E10100,driver,car,hybrid,FALSE,18,4.84,offline,2
E10101,driver,car,gas,FALSE,67,4.8,engaged,4
E10102,driver,car,gas,FALSE,64,4.66,engaged,1
E10103,driver,car,hybrid,FALSE,57,4.84,engaged,5
E10104,driver,car,EV,TRUE,72,4.92,engaged,2
E10105,driver,car,hybrid,FALSE,72,4.63,offline,3
E10106,driver,car,hybrid,FALSE,79,4.65,online,3
E10107,driver,car,gas,FALSE,70,4.59,engaged,3
E10108,driver,car,hybrid,FALSE,26,4.54,offline,5
E10109,driver,car,EV,TRUE,1,4.89,engaged,4
E10110,driver,car,EV,TRUE,6,4.84,engaged,4
E10111,driver,car,hybrid,FALSE,73,4.81,online,4
E10112,driver,car,EV,TRUE,22,4.54,online,5
E10113,driver,car,hybrid,FALSE,52,4.56,offline,2
E10114,driver,car,hybrid,FALSE,17,4.74,offline,4
E10115,driver,car,gas,FALSE,61,4.68,engaged,3
E10116,driver,car,EV,TRUE,54,4.77,engaged,1
E10117,driver,car,gas,FALSE,17,4.62,engaged,1
E10118,driver,car,EV,TRUE,20,4.87,online,1
E10119,driver,car,hybrid,FALSE,42,5,engaged,3
E10120,driver,car,EV,TRUE,64,5,online,4
E10121,driver,car,hybrid,FALSE,16,5,engaged,5
E10122,driver,car,EV,TRUE,26,4.76,engaged,5
E10123,driver,car,gas,FALSE,3,4.92,offline,4
E10124,driver,car,gas,FALSE,79,4.68,online,5
E10125,driver,car,EV,TRUE,81,4.92,engaged,2
E10126,driver,car,hybrid,FALSE,70,4.68,engaged,5
E10127,driver,car,gas,FALSE,30,4.66,engaged,3
E10128,driver,car,gas,FALSE,41,4.63,engaged,3
E10129,driver,car,gas,FALSE,25,4.88,online,2
E10130,driver,car,gas,FALSE,18,4.8,online,2
E10131,driver,car,hybrid,FALSE,34,4.78,offline,1
E10132,driver,car,EV,TRUE,54,4.54,engaged,2
E10133,driver,car,EV,TRUE,81,4.78,engaged,1
E10134,driver,car,EV,TRUE,73,4.49,engaged,3
E10135,driver,car,gas,FALSE,47,5,online,5
E10136,driver,car,hybrid,FALSE,44,4.73,engaged,2
E10137,driver,car,gas,FALSE,62,4.78,online,1
E10138,driver,car,EV,TRUE,71,4.73,engaged,5
E10139,driver,car,gas,FALSE,62,4.46,online,2
E10140,driver,car,EV,TRUE,27,4.5,online,2
E10141,driver,car,gas,FALSE,13,4.74,engaged,1
E10142,driver,car,EV,TRUE,60,5,online,1
E10143,driver,car,EV,TRUE,60,4.55,offline,5
E10144,driver,car,EV,TRUE,27,4.62,engaged,3
E10145,driver,car,EV,TRUE,6,4.74,online,2
E10146,driver,car,EV,TRUE,47,4.45,engaged,3
E10147,driver,car,EV,TRUE,25,4.44,engaged,2
E10148,driver,car,EV,TRUE,2,4.68,offline,1
E10149,driver,car,gas,FALSE,81,4.74,offline,5
E10150,driver,car,hybrid,FALSE,65,4.68,engaged,3
E10151,driver,car,gas,FALSE,34,5,offline,1
E10152,driver,car,hybrid,FALSE,21,4.72,offline,2
E10153,driver,car,gas,FALSE,69,4.81,engaged,3
E10154,driver,car,hybrid,FALSE,24,5,offline,2
E10155,driver,car,hybrid,FALSE,10,5,offline,3
E10156,driver,car,hybrid,FALSE,2,4.46,offline,5
E10157,driver,car,EV,TRUE,35,4.68,engaged,3
E10158,driver,car,EV,TRUE,52,4.96,engaged,2
E10159,driver,car,hybrid,FALSE,50,4.5,engaged,4
E10160,courier,scooter,gas,FALSE,51,4.53,engaged,1
E10161,courier,bike,EV,TRUE,31,4.47,offline,4
E10162,courier,bike,EV,TRUE,26,4.45,engaged,4
E10163,courier,bike,EV,TRUE,36,4.5,offline,5
E10164,courier,bike,EV,TRUE,67,4.73,engaged,1
E10165,courier,scooter,gas,FALSE,10,4.93,engaged,5
E10166,courier,scooter,hybrid,FALSE,50,4.98,online,4
E10167,courier,bike,EV,TRUE,64,4.7,engaged,5
E10168,courier,scooter,EV,TRUE,64,4.35,offline,3
E10169,courier,bike,EV,TRUE,47,4.69,engaged,3
E10170,courier,bike,EV,TRUE,37,4.64,engaged,3
E10171,courier,bike,gas,FALSE,75,4.76,online,2
E10172,courier,bike,gas,FALSE,7,4.68,offline,4
E10173,courier,bike,hybrid,FALSE,41,4.38,online,2
E10174,courier,bike,EV,TRUE,32,4.77,online,5
E10175,courier,bike,gas,FALSE,60,4.33,online,2
E10176,courier,scooter,EV,TRUE,80,4.58,offline,4
E10177,courier,bike,gas,FALSE,46,4.76,engaged,2
E10178,courier,bike,EV,TRUE,54,4.76,offline,5
E10179,courier,bike,EV,TRUE,54,4.98,offline,5
E10180,courier,scooter,EV,TRUE,38,4.27,engaged,2
E10181,courier,bike,EV,TRUE,40,4.76,engaged,5
E10182,courier,scooter,EV,TRUE,79,4.82,engaged,5
E10183,courier,scooter,EV,TRUE,36,4.64,online,2
E10184,courier,car,EV,TRUE,84,4.81,online,1
E10185,courier,scooter,EV,TRUE,34,4.5,offline,1
E10186,courier,scooter,EV,TRUE,70,4.82,offline,1
E10187,courier,scooter,hybrid,FALSE,21,4.8,engaged,2
E10188,courier,scooter,EV,TRUE,62,4.52,offline,2
E10189,courier,bike,EV,TRUE,18,4.58,online,1
E10190,courier,bike,gas,FALSE,28,4.67,offline,4
E10191,courier,scooter,EV,TRUE,20,4.58,offline,2
E10192,courier,scooter,hybrid,FALSE,42,4.89,offline,5
E10193,courier,scooter,gas,FALSE,24,4.73,offline,3
E10194,courier,scooter,EV,TRUE,42,4.94,online,5
E10195,courier,bike,EV,TRUE,63,4.91,engaged,4
E10196,courier,bike,gas,FALSE,10,4.71,offline,2
E10197,courier,car,gas,FALSE,39,4.67,offline,3
E10198,courier,bike,EV,TRUE,46,4.53,engaged,3
E10199,courier,bike,EV,TRUE,57,4.56,engaged,5
E10200,courier,car,hybrid,FALSE,36,4.56,offline,5
E10201,courier,scooter,EV,TRUE,41,4.76,online,4
E10202,courier,car,gas,FALSE,67,4.54,online,1
E10203,courier,bike,EV,TRUE,47,4.71,engaged,4
E10204,courier,scooter,gas,FALSE,73,4.73,offline,4
E10205,courier,bike,gas,FALSE,73,4.61,online,2
E10206,courier,bike,EV,TRUE,37,4.67,online,2
E10207,courier,bike,EV,TRUE,73,4.96,offline,1
E10208,courier,scooter,gas,FALSE,9,4.99,engaged,5
E10209,courier,bike,EV,TRUE,43,4.56,online,3
E10210,courier,scooter,gas,FALSE,11,4.66,online,2
E10211,courier,bike,gas,FALSE,55,4.63,online,2
E10212,courier,bike,hybrid,FALSE,44,4.65,offline,4
E10213,courier,bike,gas,FALSE,43,4.98,engaged,2
E10214,courier,bike,EV,TRUE,10,4.82,engaged,5
E10215,courier,car,EV,TRUE,45,4.93,online,4
E10216,courier,scooter,gas,FALSE,70,5,engaged,1
E10217,courier,bike,gas,FALSE,15,4.62,offline,4
E10218,courier,car,EV,TRUE,21,4.67,engaged,4
E10219,courier,scooter,EV,TRUE,50,4.71,offline,5
E10220,courier,bike,hybrid,FALSE,8,4.88,offline,3
E10221,courier,scooter,EV,TRUE,20,4.68,online,1
E10222,courier,scooter,EV,TRUE,62,4.82,online,3
E10223,courier,bike,EV,TRUE,28,4.91,engaged,2
E10224,courier,scooter,EV,TRUE,66,4.91,online,4
E10225,courier,bike,EV,TRUE,23,4.78,offline,5
E10226,courier,car,EV,TRUE,34,4.56,offline,4
E10227,courier,car,EV,TRUE,71,4.42,online,4
E10228,courier,scooter,EV,TRUE,28,4.9,online,4
E10229,courier,car,gas,FALSE,36,4.78,online,2
E10230,courier,scooter,gas,FALSE,48,4.53,offline,2
E10231,courier,scooter,gas,FALSE,21,4.61,offline,2
E10232,courier,scooter,EV,TRUE,67,4.62,online,5
E10233,courier,bike,EV,TRUE,20,4.4,engaged,2
E10234,courier,bike,gas,FALSE,20,4.75,online,1
E10235,courier,bike,gas,FALSE,68,4.56,online,4
E10236,courier,scooter,EV,TRUE,76,4.65,engaged,5
E10237,courier,bike,gas,FALSE,54,4.83,online,1
E10238,courier,scooter,EV,TRUE,5,4.68,engaged,4
E10239,courier,bike,EV,TRUE,40,4.8,offline,3
E10240,courier,bike,EV,TRUE,60,4.78,engaged,1
E10241,courier,bike,gas,FALSE,14,4.71,engaged,4
E10242,courier,scooter,gas,FALSE,16,4.71,engaged,4
E10243,courier,bike,EV,TRUE,61,5,online,3
E10244,courier,scooter,EV,TRUE,2,4.67,engaged,2
E10245,courier,car,EV,TRUE,81,4.99,offline,5
E10246,courier,scooter,hybrid,FALSE,51,4.54,engaged,1
E10247,courier,bike,EV,TRUE,15,4.83,offline,3
E10248,courier,car,EV,TRUE,82,4.73,offline,4
E10249,courier,scooter,EV,TRUE,19,4.57,engaged,1
E10250,courier,bike,gas,FALSE,23,4.22,online,2
E10251,courier,bike,gas,FALSE,76,4.99,engaged,1
E10252,courier,bike,EV,TRUE,16,4.49,offline,4
E10253,courier,scooter,EV,TRUE,55,4.53,engaged,2
E10254,courier,scooter,gas,FALSE,50,4.72,offline,3
E10255,courier,car,gas,FALSE,52,4.71,engaged,3
E10256,courier,car,gas,FALSE,78,4.75,engaged,1
E10257,courier,bike,EV,TRUE,40,4.65,engaged,4
E10258,courier,bike,EV,TRUE,66,4.43,offline,3
E10259,courier,scooter,gas,FALSE,21,4.86,offline,5
E10260,courier,car,EV,TRUE,46,4.54,engaged,5
E10261,courier,bike,EV,TRUE,26,4.74,engaged,2
E10262,courier,scooter,EV,TRUE,26,4.8,online,2
E10263,courier,bike,EV,TRUE,43,4.91,offline,1
E10264,courier,car,EV,TRUE,60,4.66,online,4
E10265,courier,car,EV,TRUE,73,4.65,engaged,5
E10266,courier,scooter,EV,TRUE,34,4.66,online,3
E10267,courier,scooter,EV,TRUE,1,4.37,offline,3
E10268,courier,bike,EV,TRUE,22,4.56,online,5
E10269,courier,bike,EV,TRUE,5,4.52,offline,2
E10270,courier,scooter,hybrid,FALSE,18,4.49,offline,4
E10271,courier,scooter,gas,FALSE,3,4.73,online,2
E10272,courier,bike,EV,TRUE,68,4.64,offline,1
E10273,courier,scooter,EV,TRUE,67,4.99,online,3
E10274,courier,bike,hybrid,FALSE,7,4.97,engaged,1
E10275,courier,scooter,gas,FALSE,52,4.36,offline,5
E10276,courier,bike,EV,TRUE,80,4.72,engaged,5
E10277,courier,scooter,gas,FALSE,63,4.52,offline,4
E10278,courier,scooter,EV,TRUE,15,4.8,engaged,3
E10279,courier,bike,EV,TRUE,4,4.73,offline,1
E10280,courier,bike,gas,FALSE,56,4.87,engaged,4
E10281,courier,scooter,gas,FALSE,40,4.76,engaged,1
E10282,courier,bike,gas,FALSE,32,4.84,engaged,4
E10283,courier,car,EV,TRUE,14,4.65,engaged,2
E10284,courier,bike,gas,FALSE,31,4.25,online,3
E10285,courier,scooter,EV,TRUE,22,4.49,online,4
E10286,courier,scooter,hybrid,FALSE,13,4.55,engaged,2
E10287,courier,bike,EV,TRUE,59,4.61,online,3
E10288,courier,bike,EV,TRUE,42,4.52,online,1
E10289,courier,bike,EV,TRUE,68,4.99,offline,2
E10290,courier,bike,EV,TRUE,6,4.67,offline,1
E10291,courier,bike,EV,TRUE,42,4.93,offline,2
E10292,courier,car,hybrid,FALSE,61,4.64,online,2
E10293,courier,bike,hybrid,FALSE,8,5,online,3
E10294,courier,scooter,EV,TRUE,61,4.48,online,2
E10295,courier,scooter,gas,FALSE,72,4.81,online,5
E10296,courier,scooter,EV,TRUE,7,4.46,engaged,1
E10297,courier,bike,gas,FALSE,36,4.78,offline,2
E10298,courier,bike,hybrid,FALSE,57,4.99,offline,1
E10299,courier,bike,gas,FALSE,16,4.41,engaged,2
E10300,courier,bike,gas,FALSE,65,4.54,engaged,3
E10301,courier,scooter,EV,TRUE,68,4.74,online,5
E10302,courier,bike,hybrid,FALSE,24,4.67,engaged,2
E10303,courier,bike,gas,FALSE,12,4.45,offline,1
E10304,courier,bike,EV,TRUE,68,4.91,online,1
E10305,courier,scooter,EV,TRUE,33,4.71,offline,5
E10306,courier,bike,EV,TRUE,25,4.93,online,2
E10307,courier,bike,EV,TRUE,24,4.76,online,1
E10308,courier,scooter,hybrid,FALSE,75,4.49,offline,1
E10309,courier,car,EV,TRUE,24,4.61,online,5
E10310,courier,scooter,hybrid,FALSE,42,4.95,engaged,4
E10311,courier,scooter,EV,TRUE,65,4.45,engaged,5
E10312,courier,scooter,EV,TRUE,77,4.62,online,1
E10313,courier,scooter,EV,TRUE,57,4.81,engaged,3
E10314,courier,scooter,gas,FALSE,31,4.88,offline,4
E10315,courier,bike,gas,FALSE,78,4.85,offline,3
E10316,courier,bike,EV,TRUE,7,4.43,engaged,4
E10317,courier,scooter,EV,TRUE,20,5,engaged,1
E10318,courier,scooter,gas,FALSE,65,4.67,offline,3
E10319,courier,scooter,EV,TRUE,15,4.7,online,5
E10320,courier,scooter,EV,TRUE,31,4.7,engaged,2
E10321,courier,bike,EV,TRUE,41,4.66,engaged,5
E10322,courier,scooter,gas,FALSE,64,4.53,online,5
E10323,courier,bike,EV,TRUE,21,4.64,offline,5
E10324,courier,scooter,EV,TRUE,53,4.94,offline,3
E10325,courier,scooter,gas,FALSE,6,4.45,online,4
E10326,courier,scooter,gas,FALSE,18,4.26,online,4
E10327,courier,bike,hybrid,FALSE,1,4.8,online,4
E10328,courier,scooter,EV,TRUE,51,4.76,engaged,3
E10329,courier,bike,hybrid,FALSE,5,4.83,engaged,5
E10330,courier,bike,EV,TRUE,71,5,online,4
E10331,courier,bike,hybrid,FALSE,47,4.57,offline,3
E10332,courier,car,hybrid,FALSE,28,4.73,online,2
E10333,courier,bike,gas,FALSE,8,4.79,engaged,3
E10334,courier,scooter,hybrid,FALSE,76,4.92,online,4
E10335,courier,scooter,hybrid,FALSE,28,4.88,offline,4
E10336,courier,scooter,EV,TRUE,45,4.55,online,2
E10337,courier,scooter,gas,FALSE,62,4.45,online,4
E10338,courier,bike,EV,TRUE,40,4.65,offline,4
E10339,courier,bike,gas,FALSE,24,4.41,offline,2
E10340,courier,bike,EV,TRUE,7,4.9,engaged,3
E10341,courier,bike,EV,TRUE,3,4.63,engaged,2
E10342,courier,scooter,EV,TRUE,73,4.64,engaged,2
E10343,courier,bike,EV,TRUE,20,4.54,engaged,3
E10344,courier,bike,EV,TRUE,16,4.97,online,3
E10345,courier,scooter,EV,TRUE,49,4.75,offline,3
E10346,courier,scooter,EV,TRUE,8,4.63,offline,4
E10347,courier,scooter,EV,TRUE,25,4.81,online,5
E10348,courier,scooter,EV,TRUE,40,4.68,offline,4
E10349,courier,bike,gas,FALSE,67,4.81,engaged,5
E10350,courier,bike,gas,FALSE,49,4.94,online,2
E10351,courier,scooter,EV,TRUE,58,4.65,offline,2
E10352,courier,bike,gas,FALSE,29,4.79,online,3
E10353,courier,bike,gas,FALSE,18,4.79,online,1
E10354,courier,scooter,EV,TRUE,2,4.9,engaged,3
E10355,courier,scooter,EV,TRUE,28,4.81,engaged,3
E10356,courier,scooter,hybrid,FALSE,48,4.71,online,3
E10357,courier,bike,EV,TRUE,51,4.58,offline,1
E10358,courier,bike,hybrid,FALSE,37,4.75,offline,3
E10359,courier,bike,hybrid,FALSE,26,4.51,offline,2
