rider_id,trip_frequency,preferred_product,payment_type
R2150,13,UberX,wallet
R2151,20,UberGreen,cash
R2152,3,UberX,wallet
R2153,7,UberBlack,wallet
R2154,7,UberGreen,cash
R2155,1,UberBlack,wallet
R2156,11,UberBlack,wallet
R2157,20,UberPool,wallet
R2158,7,UberPool,card
R2159,6,UberGreen,card
R2160,5,UberBlack,card
R2161,9,UberBlack,wallet
R2162,20,UberBlack,cash
R2163,7,UberX,card
R2164,7,UberBlack,cash
R2165,14,UberPool,card
R2166,3,UberBlack,cash
R2167,12,UberGreen,cash
R2168,15,UberPool,wallet
R2169,4,UberX,cash
R2170,17,UberGreen,card
R2171,16,UberX,cash
R2172,4,UberBlack,card
R2173,15,UberPool,cash
R2174,13,UberPool,wallet
R2175,14,UberPool,cash
R2176,3,UberBlack,cash
R2177,11,UberBlack,wallet
R2178,15,UberBlack,cash
R2179,1,UberPool,card
R2180,14,UberBlack,card
R2181,19,UberBlack,cash
R2182,14,UberBlack,cash
R2183,4,UberX,wallet
R2184,4,UberGreen,card
R2185,3,UberBlack,card
R2186,12,UberX,wallet
R2187,19,UberBlack,card
R2188,5,UberGreen,card
R2189,12,UberPool,cash
R2190,17,UberBlack,cash
R2191,20,UberX,card
R2192,1,UberGreen,cash
R2193,8,UberX,card
R2194,3,UberGreen,wallet
R2195,13,UberPool,wallet
R2196,19,UberPool,cash
R2197,12,UberPool,wallet
R2198,13,UberX,wallet
R2199,3,UberX,card
R2200,20,UberBlack,wallet
R2201,16,UberX,cash
R2202,15,UberPool,card
R2203,12,UberBlack,card
R2204,4,UberBlack,cash
R2205,18,UberX,card
R2206,10,UberX,card
R2207,19,UberPool,card
R2208,3,UberBlack,cash
R2209,12,UberPool,card
R2210,19,UberGreen,cash
R2211,2,UberPool,wallet
R2212,15,UberPool,wallet
R2213,4,UberGreen,card
R2214,4,UberPool,card
R2215,19,UberPool,cash
R2216,20,UberX,cash
R2217,1,UberPool,card
R2218,4,UberGreen,card
R2219,10,UberX,cash
R2220,4,UberGreen,cash
R2221,18,UberX,cash
R2222,14,UberBlack,card
R2223,7,UberBlack,wallet
R2224,4,UberGreen,cash
R2225,16,UberPool,wallet
R2226,18,UberPool,wallet
R2227,17,UberX,cash
R2228,10,UberBlack,wallet
R2229,20,UberBlack,card
R2230,12,UberX,cash
R2231,16,UberGreen,cash
R2232,14,UberBlack,cash
R2233,4,UberX,cash
R2234,17,UberX,card
R2235,17,UberGreen,wallet
R2236,11,UberGreen,card
R2237,4,UberBlack,card
R2238,11,UberBlack,cash
R2239,8,UberGreen,wallet
R2240,1,UberBlack,cash
R2241,19,UberX,card
R2242,19,UberBlack,card
R2243,12,UberBlack,cash
R2244,7,UberX,cash
R2245,6,UberGreen,card
R2246,17,UberBlack,card
R2247,3,UberPool,cash
R2248,19,UberBlack,cash
R2249,12,UberGreen,card
R2250,10,UberX,card
R2251,13,UberPool,cash
R2252,11,UberX,cash
R2253,5,UberPool,cash
R2254,10,UberX,cash
R2255,2,UberGreen,wallet
R2256,3,UberPool,cash
R2257,1,UberPool,wallet
R2258,18,UberX,wallet
R2259,16,UberGreen,cash
R2260,3,UberPool,card
R2261,15,UberPool,cash
R2262,15,UberGreen,card
R2263,15,UberBlack,wallet
R2264,3,UberX,cash
R2265,18,UberX,wallet
R2266,4,UberGreen,cash
R2267,18,UberX,card
R2268,4,UberGreen,cash
R2269,18,UberPool,card
R2270,5,UberBlack,cash
R2271,14,UberX,cash
R2272,13,UberPool,wallet
R2273,16,UberGreen,cash
R2274,13,UberGreen,card
R2275,18,UberPool,wallet
R2276,11,UberPool,card
R2277,12,UberPool,wallet
R2278,12,UberGreen,wallet
R2279,17,UberGreen,cash
R2280,19,UberGreen,cash
R2281,19,UberPool,cash
R2282,13,UberBlack,card
R2283,16,UberPool,wallet
R2284,9,UberBlack,wallet
R2285,14,UberX,cash
R2286,3,UberBlack,cash
R2287,8,UberPool,cash
R2288,20,UberX,wallet
R2289,6,UberGreen,wallet
R2290,15,UberGreen,cash
R2291,4,UberPool,card
R2292,20,UberX,wallet
R2293,10,UberPool,card
R2294,12,UberPool,wallet
R2295,16,UberBlack,cash
R2296,5,UberGreen,cash
R2297,10,UberX,card
R2298,5,UberPool,card
R2299,18,UberBlack,card
R2300,6,UberPool,wallet
R2301,6,UberBlack,wallet
R2302,11,UberBlack,card
R2303,10,UberBlack,card
R2304,8,UberBlack,card
R2305,6,UberBlack,wallet
R2306,10,UberBlack,cash
R2307,18,UberPool,cash
R2308,16,UberX,cash
R2309,1,UberBlack,cash
R2310,17,UberPool,cash
R2311,6,UberPool,wallet
R2312,3,UberPool,wallet
R2313,19,UberBlack,cash
R2314,2,UberGreen,cash
R2315,18,UberPool,cash
R2316,15,UberBlack,cash
R2317,7,UberBlack,wallet
R2318,12,UberPool,card
R2319,18,UberX,wallet
R2320,3,UberBlack,card
R2321,4,UberX,card
R2322,12,UberBlack,cash
R2323,5,UberX,wallet
R2324,3,UberPool,card
R2325,14,UberPool,wallet
R2326,17,UberX,cash
R2327,17,UberPool,card
R2328,17,UberBlack,wallet
R2329,16,UberPool,wallet
R2330,4,UberGreen,card
R2331,16,UberPool,card
R2332,16,UberX,wallet
R2333,18,UberX,card
R2334,10,UberBlack,cash
R2335,8,UberBlack,card
R2336,18,UberPool,cash
R2337,1,UberGreen,wallet
R2338,19,UberBlack,card
R2339,3,UberPool,card
R2340,4,UberX,cash
R2341,10,UberX,cash
R2342,2,UberPool,card
R2343,20,UberX,card
R2344,12,UberX,card
R2345,13,UberPool,cash
R2346,12,UberBlack,card
R2347,12,UberGreen,card
R2348,8,UberBlack,card
R2349,19,UberBlack,wallet
R2350,11,UberBlack,cash
R2351,8,UberGreen,card
R2352,7,UberPool,card
R2353,9,UberGreen,cash
R2354,8,UberBlack,card
R2355,8,UberBlack,wallet
R2356,17,UberBlack,wallet
R2357,1,UberPool,cash
R2358,8,UberX,cash
R2359,17,UberBlack,wallet
R2360,7,UberX,card
R2361,18,UberX,card
R2362,17,UberPool,cash
R2363,7,UberX,cash
R2364,18,UberPool,cash
R2365,12,UberX,card
R2366,13,UberPool,cash
R2367,8,UberBlack,card
R2368,13,UberBlack,wallet
R2369,19,UberX,cash
R2370,1,UberX,cash
R2371,2,UberGreen,card
R2372,14,UberPool,card
R2373,3,UberPool,card
R2374,16,UberPool,cash
R2375,11,UberPool,card
R2376,5,UberBlack,card
R2377,7,UberPool,card
R2378,8,UberGreen,cash
R2379,12,UberX,cash
R2380,5,UberX,card
R2381,12,UberX,card
R2382,10,UberBlack,card
R2383,19,UberX,cash
R2384,17,UberGreen,wallet
R2385,9,UberX,card
R2386,8,UberX,card
R2387,10,UberPool,card
R2388,11,UberX,cash
R2389,16,UberGreen,cash
R2390,20,UberGreen,cash
R2391,2,UberPool,card
R2392,16,UberX,cash
R2393,19,UberGreen,wallet
R2394,2,UberBlack,card
R2395,2,UberPool,cash
R2396,7,UberX,card
R2397,8,UberGreen,cash
R2398,20,UberX,cash
R2399,1,UberPool,cash
R2400,1,UberPool,cash
R2401,2,UberBlack,cash
R2402,20,UberBlack,wallet
R2403,16,UberBlack,wallet
R2404,11,UberPool,cash
R2405,5,UberGreen,cash
R2406,18,UberGreen,cash
R2407,11,UberGreen,card
R2408,20,UberPool,cash
R2409,17,UberBlack,card
R2410,11,UberPool,wallet
R2411,19,UberGreen,card
R2412,11,UberBlack,wallet
R2413,4,UberX,cash
R2414,16,UberX,cash
R2415,17,UberGreen,wallet
R2416,1,UberGreen,cash
R2417,9,UberGreen,wallet
R2418,19,UberGreen,card
R2419,3,UberBlack,cash
R2420,16,UberX,wallet
R2421,5,UberX,cash
R2422,18,UberGreen,card
R2423,3,UberBlack,card
R2424,8,UberGreen,card
R2425,9,UberPool,wallet
R2426,17,UberX,cash
R2427,12,UberX,card
R2428,16,UberGreen,card
R2429,10,UberBlack,wallet
R2430,17,UberBlack,card
R2431,7,UberGreen,cash
R2432,5,UberPool,wallet
R2433,9,UberBlack,card
R2434,4,UberGreen,cash
R2435,8,UberX,card
R2436,17,UberBlack,cash
R2437,20,UberGreen,wallet
R2438,3,UberPool,card
R2439,9,UberBlack,cash
R2440,10,UberBlack,card
R2441,20,UberBlack,wallet
R2442,20,UberPool,wallet
R2443,2,UberGreen,cash
R2444,13,UberX,wallet
R2445,9,UberGreen,wallet
R2446,16,UberPool,cash
R2447,12,UberX,card
R2448,6,UberGreen,card
R2449,8,UberX,wallet
R2450,5,UberGreen,cash
R2451,15,UberBlack,wallet
R2452,6,UberX,wallet
R2453,9,UberX,cash
R2454,11,UberX,card
R2455,10,UberBlack,cash
R2456,2,UberBlack,card
R2457,9,UberPool,wallet
R2458,16,UberX,card
R2459,4,UberX,cash
R2460,17,UberPool,cash
R2461,7,UberBlack,card
R2462,14,UberBlack,cash
R2463,3,UberBlack,card
R2464,12,UberBlack,wallet
R2465,18,UberGreen,card
R2466,14,UberPool,cash
R2467,3,UberX,cash
R2468,14,UberGreen,wallet
R2469,14,UberBlack,wallet
R2470,18,UberGreen,card
R2471,17,UberX,card
R2472,6,UberX,wallet
R2473,5,UberPool,wallet
R2474,9,UberBlack,cash
R2475,2,UberX,cash
R2476,2,UberGreen,card
R2477,16,UberPool,cash
R2478,2,UberX,card
R2479,9,UberGreen,wallet
R2480,20,UberGreen,card
R2481,14,UberGreen,wallet
R2482,8,UberGreen,wallet
R2483,8,UberGreen,card
R2484,3,UberPool,card
R2485,2,UberGreen,cash
R2486,1,UberGreen,card
R2487,13,UberGreen,wallet
R2488,4,UberPool,card
R2489,16,UberBlack,wallet
R2490,4,UberBlack,cash
R2491,1,UberPool,wallet
R2492,17,UberGreen,wallet
R2493,13,UberPool,cash
R2494,2,UberX,wallet
R2495,9,UberGreen,card
R2496,12,UberGreen,card
R2497,15,UberGreen,cash
R2498,7,UberX,cash
R2499,10,UberX,cash
R2500,16,UberGreen,wallet
R2501,13,UberGreen,wallet
R2502,3,UberPool,cash
R2503,8,UberGreen,cash
R2504,7,UberBlack,card
R2505,20,UberX,wallet
R2506,19,UberBlack,wallet
R2507,13,UberX,cash
R2508,12,UberGreen,cash
R2509,3,UberGreen,card
R2510,13,UberBlack,card
R2511,14,UberX,cash
R2512,19,UberX,card
R2513,13,UberX,wallet
R2514,11,UberBlack,wallet
R2515,16,UberBlack,cash
R2516,18,UberGreen,wallet
R2517,6,UberX,card
R2518,19,UberBlack,wallet
R2519,17,UberX,cash
R2520,19,UberBlack,wallet
R2521,16,UberBlack,card
R2522,16,UberGreen,cash
R2523,14,UberPool,card
R2524,20,UberX,cash
R2525,15,UberGreen,wallet
R2526,1,UberBlack,cash
R2527,14,UberX,card
R2528,1,UberBlack,wallet
R2529,6,UberBlack,card
R2530,13,UberBlack,card
R2531,12,UberX,wallet
R2532,12,UberGreen,wallet
R2533,13,UberPool,cash
R2534,20,UberPool,card
R2535,6,UberX,card
R2536,3,UberX,wallet
R2537,7,UberBlack,card
R2538,16,UberX,wallet
R2539,19,UberX,wallet
R2540,10,UberBlack,card
R2541,20,UberBlack,wallet
R2542,11,UberBlack,card
R2543,16,UberBlack,card
R2544,15,UberBlack,wallet
R2545,17,UberBlack,card
R2546,18,UberPool,wallet
R2547,20,UberBlack,card
R2548,11,UberGreen,cash
R2549,6,UberPool,wallet
R2550,6,UberGreen,cash
R2551,20,UberBlack,card
R2552,11,UberPool,cash
R2553,12,UberX,card
R2554,16,UberX,wallet
R2555,3,UberX,card
R2556,11,UberX,wallet
R2557,12,UberGreen,wallet
R2558,18,UberGreen,card
R2559,4,UberGreen,card
R2560,20,UberPool,wallet
R2561,9,UberX,wallet
R2562,5,UberBlack,card
R2563,15,UberBlack,card
R2564,18,UberX,cash
R2565,8,UberBlack,card
R2566,8,UberBlack,cash
R2567,9,UberX,card
R2568,12,UberBlack,cash
R2569,19,UberPool,cash
R2570,6,UberX,card
R2571,4,UberGreen,wallet
R2572,17,UberPool,cash
R2573,18,UberGreen,wallet
R2574,17,UberPool,cash
R2575,13,UberBlack,wallet
R2576,9,UberGreen,cash
R2577,17,UberPool,cash
R2578,1,UberBlack,cash
R2579,13,UberX,wallet
R2580,2,UberGreen,cash
R2581,17,UberPool,cash
R2582,18,UberGreen,wallet
R2583,12,UberGreen,card
R2584,13,UberPool,wallet
R2585,7,UberX,card
R2586,8,UberBlack,wallet
R2587,14,UberBlack,card
R2588,10,UberBlack,card
R2589,18,UberX,card
R2590,5,UberGreen,wallet
R2591,4,UberGreen,wallet
R2592,14,UberX,wallet
R2593,6,UberX,cash
R2594,8,UberGreen,card
R2595,15,UberBlack,wallet
R2596,20,UberX,card
R2597,8,UberPool,wallet
R2598,3,UberPool,cash
R2599,11,UberPool,wallet
